notes,target
"On 1 Apr, a local INC councillor led a protest by residents of Ward no.7 in Jammu city (J&K) against the local BJP leadership over alleged interference in the management of a local Shiva temple. [size=large number]",Protests
"On 1 Apr, Indian and Pakistani forces exchanged fire across the LoC in the Gulpur sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, seven Indian civilians were injured when Indian and Pakistani forces exchanged fire across the LoC in the Degwar sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, in Khammam district (Telangana), subabul and eucalyptus farmers staged a protest and blocked lorries heading towards the ITC office, demanding minimum support price for their crop. [size=no report]",Protests
"On 1 Apr, near Nugur village in Venkatapuram tehsil (Khammam, Telangana), an Adivasi civilian was killed when a pressure landmine, suspected to have been planted by CPI-Maoists, exploded in a forest.",Other
"On 1 April, over 100 district health department employees demonstrated outside the civil surgeon's office in Ludhiana city (Punjab) to oppose the alleged casteist remarks that the DHO used when speaking to an employee. [size=over 100]",Protests
"On 1 April, SAD members held a demonstration outside the gurdwara in Tarn Taran city (Punjab) to demand the resignation of the SGPC chief after a part of a historic shrine was demolished. [size=no report]",Protests
"Assumed on 1 Apr, in Kerala state, widespread protests in the state were made against a CPI-M leader and alleged derogatory remarks against a Congress leader and UDF candidate for the upcoming general elections. [size=no report]",Protests
"On 1 Apr, four militants were killed when a mixed group of LeT and HM militants clashed with state forces during a joint RR, CRPF and SOG CASO at Lassipora village (Pulwama, J&K). Three soldiers and a SOG policeman were also wounded in the encounter. Rioters clashed with state forces at the scene.",Other
"As reported on 1 Apr, the JKNPP staged a protest in Jammu city (J&K) against companies which have terminated locals working on the Banihal highway and Railway projects. [size=scores]",Protests
"On April 1, BJP workers demonstrated at the office of the block development officer in Kanksa city (Paschim Bardhaman, West Bengal), accusing the Trinamul Congress of defacing their wall graffiti. The police was deployed to the area and intervened. [size=no report]",Protests
